date;Biedron;Kaczynski;Schetyna
2018-09-01;0;18;13
2018-09-02;1;81;8
2018-09-03;13;15;6
2018-09-04;18;9;41
2018-09-05;9;20;59
2018-09-06;2;6;77
2018-09-07;1;11;34
2018-09-08;1;35;110
2018-09-09;1;53;9
2018-09-10;12;18;8
2018-09-11;10;7;25
2018-09-12;0;13;26
2018-09-13;0;5;0
2018-09-14;0;9;29
2018-09-15;0;35;4
2018-09-16;1;27;15
2018-09-17;3;19;39
2018-09-18;3;14;12
2018-09-19;1;18;35
2018-09-20;0;11;50
2018-09-21;2;26;8
2018-09-22;0;62;59
2018-09-23;1;13;42
2018-09-24;2;11;25
2018-09-25;2;18;50
2018-09-26;1;9;52
2018-09-27;1;10;44
2018-09-28;0;21;2
2018-09-29;0;23;12
2018-09-30;3;31;102
2018-10-01;5;15;1
2018-10-02;1;11;53
2018-10-03;2;14;4
2018-10-04;0;57;32
2018-10-05;0;58;8
2018-10-06;0;48;32
2018-10-07;0;44;94
2018-10-08;0;12;23
2018-10-09;1;19;6
2018-10-10;8;19;15
2018-10-11;25;15;18
2018-10-12;8;29;13
2018-10-13;0;46;94
2018-10-14;0;48;24
2018-10-15;0;34;23
2018-10-16;2;43;17
2018-10-17;0;57;48
2018-10-18;0;22;52
2018-10-19;0;40;56
2018-10-20;0;4;0
2018-10-21;1;15;24
2018-10-22;6;23;34
2018-10-23;0;18;8
2018-10-24;1;7;36
2018-10-25;7;21;25
2018-10-26;2;25;12
2018-10-27;0;48;9
2018-10-28;3;34;1
2018-10-29;0;41;14
2018-10-30;0;26;72
2018-10-31;0;18;2
2018-11-01;2;6;1
2018-11-02;5;5;28
2018-11-03;0;7;1
2018-11-04;0;8;4
2018-11-05;0;15;10
2018-11-06;3;26;70
2018-11-07;0;30;44
2018-11-08;2;18;15
2018-11-09;2;17;2
2018-11-10;1;65;1
2018-11-11;0;33;62
2018-11-12;0;16;4
2018-11-13;0;14;9
2018-11-14;0;6;52
2018-11-15;1;5;23
2018-11-16;10;7;1
2018-11-17;2;2;0
2018-11-18;2;4;0
2018-11-19;3;15;1
2018-11-20;3;21;11
2018-11-21;0;15;9
2018-11-22;1;90;38
2018-11-23;1;42;64
2018-11-24;1;14;3
2018-11-25;1;3;0
2018-11-26;4;7;6
2018-11-27;7;16;46
2018-11-28;1;13;16
2018-11-29;3;9;2
2018-11-30;7;13;6
2018-12-01;4;7;1
2018-12-02;2;6;0
2018-12-03;2;6;3
2018-12-04;4;28;2
2018-12-05;12;10;46
2018-12-06;8;27;61
2018-12-07;3;82;3
2018-12-08;0;25;0
2018-12-09;1;19;4
2018-12-10;2;24;12
2018-12-11;6;17;37
2018-12-12;4;25;23
2018-12-13;5;38;4
2018-12-14;6;16;215
2018-12-15;0;35;27
2018-12-16;1;12;11
2018-12-17;1;24;13
2018-12-18;1;8;4
2018-12-19;2;5;15
2018-12-20;3;19;10
2018-12-21;2;10;9
2018-12-22;0;8;2
2018-12-23;0;8;0
2018-12-24;3;2;3
2018-12-25;4;2;0
2018-12-26;2;3;2
2018-12-27;1;5;4
2018-12-28;1;22;5
2018-12-29;0;5;0
2018-12-30;3;14;0
2018-12-31;0;4;7
2019-01-01;2;1;1
2019-01-02;6;22;4
2019-01-03;3;21;7
2019-01-04;1;13;41
2019-01-05;4;26;1
2019-01-06;1;11;11
2019-01-07;3;14;8
2019-01-08;4;31;16
2019-01-09;0;79;24
2019-01-10;1;17;9
2019-01-11;1;15;12
2019-01-12;3;12;4
2019-01-13;1;12;7
2019-01-14;1;6;19
2019-01-15;0;19;6
2019-01-16;3;61;38
2019-01-17;0;18;2
2019-01-18;0;15;1
2019-01-19;0;11;13
2019-01-20;1;16;4
2019-01-21;1;10;4
2019-01-22;3;14;7
2019-01-23;9;22;34
2019-01-24;2;24;21
2019-01-25;16;9;2
2019-01-26;6;34;74
2019-01-27;2;10;9
2019-01-28;4;24;10
2019-01-29;1;366;12
2019-01-30;6;176;17
2019-01-31;13;124;2
2019-02-01;8;89;44
2019-02-02;7;56;14
2019-02-03;74;30;5
2019-02-04;35;34;0
2019-02-05;19;105;3
2019-02-06;16;77;41
2019-02-07;16;70;26
2019-02-08;6;90;11
2019-02-09;2;56;4
2019-02-10;5;30;2
2019-02-11;21;68;4
2019-02-12;12;44;3
2019-02-13;5;79;4
2019-02-14;5;81;8
2019-02-15;3;176;15
2019-02-16;1;37;9
2019-02-17;2;26;15
2019-02-18;0;46;42
2019-02-19;3;56;21
2019-02-20;10;52;9
2019-02-21;4;20;12
